,Knife-Expert:KnifeBlade-Base,,,Knife-Expert:KnifeBlade-Middle,,,Knife-Expert:KnifeBlade-Top,,,HR-Expert:HoningRod-Handle1,,,HR-Expert:HoningRod-Handle2,,,HR-Expert:HoningRod-Handle3,,,HR-Expert:HoningRod-Handle4,,
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
27,-78.447,86.3108,128.583,-71.7215,25.8573,117.975,-75.5551,67.3529,117.877,-0.134167,-31.2607,331.073,-1.73295,-28.959,395.933,1.78299,-37.4322,362.454,12.97,-15.886,426.072
28,-77.8409,86.6636,128.332,-71.3277,26.0483,117.844,-75.1993,67.5653,117.886,-0.371882,-31.2658,331.049,-2.01183,-28.9359,395.93,1.48018,-37.3952,362.474,12.5942,-15.8771,426.094
29,-77.274,86.9661,128.186,-70.8464,26.2537,117.802,-74.9038,67.6852,117.937,-0.619734,-31.26,331.027,-2.23887,-28.8933,395.951,1.17181,-37.3301,362.461,12.177,-15.8275,426.072
30,-76.8266,87.1441,128.127,-70.0434,26.5724,117.678,-74.4389,67.8659,117.973,-0.897701,-31.2238,331.049,-2.49557,-28.803,395.979,0.891348,-37.298,362.464,11.7939,-15.7993,426.124
31,-76.1971,87.3228,128.033,-69.3553,26.7454,117.716,-72.9582,68.3062,117.322,-1.1811,-31.1189,331.08,-2.79031,-28.6949,395.987,0.607847,-37.2261,362.461,11.4473,-15.8389,426.218
32,-75.3963,87.5908,128.082,-68.7731,26.8767,117.803,-72.1981,68.551,117.281,-1.40743,-31.0422,331.057,-3.10229,-28.57,395.995,0.380658,-37.1392,362.431,11.2798,-15.626,426.096
33,-74.6174,87.6804,128.109,-67.9379,27.0725,117.916,-71.7706,68.6209,117.532,-1.59682,-30.9258,331.066,-3.43567,-28.4373,395.999,0.225983,-37.0616,362.394,11.1103,-15.4032,425.987
34,-74.0288,87.6549,128.173,-67.2346,27.2871,118.124,-71.3076,68.6653,117.68,-1.75886,-30.8015,331.064,-3.73339,-28.3573,396.004,-0.0331606,-36.9399,362.361,10.802,-15.2728,426.065
35,-73.647,87.606,128.268,-66.5155,27.196,118.23,-70.9066,68.7598,117.847,-1.96448,-30.6466,331.066,-4.02493,-28.214,396.011,-0.314002,-36.7744,362.33,10.4633,-15.042,426.068
36,-73.3305,87.6205,128.371,-65.9703,27.112,118.404,-70.6308,68.8433,118.056,-2.23466,-30.4786,331.083,-4.27083,-28.0085,396.005,-0.58362,-36.6009,362.371,10.2005,-14.8161,426.061
37,-72.9074,87.6119,128.546,-65.4608,27.0209,118.659,-70.2067,68.9627,118.346,-2.49271,-30.3146,331.104,-4.52536,-27.813,396.012,-0.871379,-36.3971,362.455,10.0106,-14.6032,426.073
